Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes
70,Georginio Wijnaldum,Liverpool,0.06,,Blocked,10.0,Head,
71,Joël Matip,Liverpool,0.13,,Off Target,6.0,Head,
8,Fabinho,Liverpool,0.03,,Blocked,23.0,Right Foot,
9,Sadio Mané,Liverpool,0.36,0.81,Goal,7.0,Head,
12,Sadio Mané,Liverpool,0.1,,Off Target,7.0,Right Foot,Volley
20,Sadio Mané,Liverpool,0.29,0.32,Goal,12.0,Right Foot,
23,Mohamed Salah,Liverpool,0.03,,Off Target,22.0,Left Foot,
28,Mohamed Salah,Liverpool,0.04,0.02,Saved,23.0,Left Foot,
37,Mohamed Salah,Liverpool,0.05,0.14,Saved,12.0,Right Foot,
37,James Milner,Liverpool,0.14,0.05,Saved,8.0,Left Foot,
37,Fabinho,Liverpool,0.03,,Off Target,28.0,Right Foot,
,,,,,,,,
49,Mohamed Salah,Liverpool,0.04,,Blocked,17.0,Left Foot,
49,Andrew Robertson,Liverpool,0.07,,Off Target,11.0,Left Foot,
57,Divock Origi,Liverpool,0.05,,Blocked,29.0,Right Foot,
57,Divock Origi,Liverpool,0.05,,Blocked,27.0,Right Foot,
61,Divock Origi,Liverpool,0.03,0.02,Saved,23.0,Right Foot,
63,Sadio Mané,Liverpool,0.12,,Blocked,11.0,Right Foot,
64,Georginio Wijnaldum,Liverpool,0.05,0.02,Saved,25.0,Left Foot,
66,Divock Origi,Liverpool,0.05,0.32,Goal,15.0,Right Foot,
79,Virgil van Dijk,Liverpool,0.31,0.62,Goal,6.0,Head,
82,Virgil van Dijk,Liverpool,0.14,0.49,Goal,9.0,Head,
15,Mohamed Salah,Liverpool,0.06,0.07,Saved,17.0,Left Foot,
28,Mohamed Salah,Liverpool,0.53,0.71,Saved,9.0,Left Foot,
28,Jordan Henderson,Liverpool,0.08,,Blocked,19.0,Left Foot,
44,Virgil van Dijk,Liverpool,0.05,,Off Target,10.0,Head,
,,,,,,,,
54,Trent Alexander-Arnold,Liverpool,0.05,0.12,Saved,31.0,Right Foot,Free kick
55,Divock Origi,Liverpool,0.03,,Off Target,20.0,Right Foot,
68,James Milner,Liverpool,0.03,,Blocked,26.0,Right Foot,
70,James Milner,Liverpool,0.04,,Blocked,24.0,Right Foot,
84,Joël Matip,Liverpool,0.14,,Off Target,7.0,Head,
85,Roberto Firmino,Liverpool,0.15,,Blocked,9.0,Right Foot,
14,Roberto Firmino,Liverpool,0.06,,Blocked,16.0,Right Foot,
15,Fabinho,Liverpool,0.02,,Blocked,32.0,Right Foot,
17,Sadio Mané,Liverpool,0.08,,Off Target,10.0,Head,
19,Roberto Firmino,Liverpool,0.98,0.98,Goal,1.0,Left Foot,
22,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,27.0,Right Foot,
24,Trent Alexander-Arnold,Liverpool,0.01,,Off Target,29.0,Right Foot,
29,Sadio Mané,Liverpool,0.3,0.88,Goal,12.0,Right Foot,
31,Mohamed Salah,Liverpool,0.06,,Off Target,15.0,Left Foot,
38,Trent Alexander-Arnold,Liverpool,0.06,,Off Target,26.0,Right Foot,Free kick
,,,,,,,,
51,Mohamed Salah,Liverpool,0.03,,Off Target,24.0,Left Foot,
55,Mohamed Salah,Liverpool,0.02,,Blocked,25.0,Left Foot,Volley
59,Adam Lallana,Liverpool,0.04,,Blocked,18.0,Right Foot,
67,Georginio Wijnaldum,Liverpool,0.31,,Off Target,8.0,Head,
67,Roberto Firmino,Liverpool,0.49,0.75,Goal,9.0,Right Foot,
70,Virgil van Dijk,Liverpool,0.02,,Blocked,37.0,Right Foot,
75,Sadio Mané,Liverpool,0.04,,Blocked,20.0,Right Foot,
76,Mohamed Salah,Liverpool,0.01,,Blocked,31.0,Left Foot,
78,Jordan Henderson,Liverpool,0.07,,Blocked,10.0,Right Foot,
82,Sadio Mané,Liverpool,0.79,,Woodwork,3.0,Left Foot,
85,Andrew Robertson,Liverpool,0.06,,Blocked,13.0,Left Foot,
88,Mohamed Salah,Liverpool,0.08,0.37,Saved,14.0,Left Foot,
89,Daniel Sturridge,Liverpool,0.02,,Blocked,30.0,Left Foot,
90,Sadio Mané,Liverpool,0.44,0.45,Goal,11.0,Left Foot,
25,Roberto Firmino,Liverpool,0.04,,Off Target,22.0,Right Foot,
26,Sadio Mané,Liverpool,0.19,0.7,Goal,18.0,Left Foot,
34,Andrew Robertson,Liverpool,0.06,0.06,Saved,13.0,Left Foot,
,,,,,,,,
50,Mohamed Salah,Liverpool,0.07,0.03,Saved,22.0,Left Foot,
69,Virgil van Dijk,Liverpool,0.09,0.37,Goal,8.0,Head,
71,Fabinho,Liverpool,0.03,,Blocked,20.0,Right Foot,
72,Mohamed Salah,Liverpool,0.04,,Off Target,16.0,Left Foot,Volley
80,Roberto Firmino,Liverpool,0.03,0.02,Saved,27.0,Right Foot,
84,Sadio Mané,Liverpool,0.53,0.92,Goal,6.0,Head,
90,Georginio Wijnaldum,Liverpool,0.03,,Off Target,27.0,Right Foot,
4,Mohamed Salah,Liverpool,0.05,,Off Target,13.0,Right Foot,
18,Joël Matip,Liverpool,0.09,,Off Target,8.0,Head,
26,Sadio Mané,Liverpool,0.53,0.65,Goal,9.0,Right Foot,
28,Mohamed Salah,Liverpool,0.02,0.03,Saved,30.0,Left Foot,
35,Andrew Robertson,Liverpool,0.1,0.2,Saved,6.0,Left Foot,
,,,,,,,,
47,Georginio Wijnaldum,Liverpool,0.05,,Off Target,15.0,Right Foot,
47,Roberto Firmino,Liverpool,0.18,,Blocked,8.0,Right Foot,
51,Roberto Firmino,Liverpool,0.04,,Blocked,22.0,Left Foot,
52,Georginio Wijnaldum,Liverpool,0.15,,Off Target,4.0,Head,
73,Sadio Mané,Liverpool,0.12,,Woodwork,5.0,Head,
79,Divock Origi,Liverpool,0.02,,Blocked,29.0,Right Foot,
80,Mohamed Salah,Liverpool,0.05,0.05,Saved,13.0,Left Foot,
81,James Milner (pen),Liverpool,0.79,0.88,Goal,13.0,Right Foot,
85,Georginio Wijnaldum,Liverpool,0.04,,Off Target,23.0,Right Foot,
87,Mohamed Salah,Liverpool,0.36,0.32,Saved,14.0,Left Foot,
89,Mohamed Salah,Liverpool,0.03,,Off Target,23.0,Left Foot,
4,Mohamed Salah,Liverpool,0.03,,Off Target,22.0,Left Foot,
16,Roberto Firmino,Liverpool,0.29,0.35,Goal,9.0,Head,
18,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,26.0,Right Foot,Volley
20,Sadio Mané,Liverpool,0.06,,Off Target,21.0,Right Foot,
37,Sadio Mané,Liverpool,0.04,,Off Target,22.0,Right Foot,
,,,,,,,,
49,Virgil van Dijk,Liverpool,0.1,,Off Target,6.0,Head,
54,Roberto Firmino,Liverpool,0.06,,Off Target,11.0,Head,
59,Mohamed Salah,Liverpool,0.11,,Blocked,18.0,Left Foot,
59,Jordan Henderson,Liverpool,0.05,,Blocked,25.0,Right Foot,
69,Mohamed Salah,Liverpool,0.03,,Off Target,26.0,Left Foot,
72,Mohamed Salah,Liverpool,0.08,,Off Target,9.0,Head,
76,Trent Alexander-Arnold,Liverpool,0.05,0.1,Saved,20.0,Left Foot,
81,Divock Origi,Liverpool,0.07,,Blocked,30.0,Right Foot,Free kick
90,Mohamed Salah,Liverpool,0.06,0.02,Saved,6.0,Head,
16,Sadio Mané,Liverpool,0.33,0.19,Saved,8.0,Head,
16,Naby Keïta,Liverpool,0.22,,Off Target,3.0,Right Foot,
23,Mohamed Salah,Liverpool,0.05,,Blocked,13.0,Left Foot,
30,Roberto Firmino,Liverpool,0.03,,Off Target,25.0,Right Foot,Volley
36,Naby Keïta,Liverpool,0.06,0.25,Goal,8.0,Head,
39,Sadio Mané,Liverpool,0.14,,Off Target,6.0,Head,
45,Roberto Firmino,Liverpool,0.03,,Off Target,20.0,Right Foot,
,,,,,,,,
60,Fabinho,Liverpool,0.03,,Off Target,27.0,Right Foot,
60,James Milner,Liverpool,0.01,,Blocked,32.0,Left Foot,
60,Roberto Firmino,Liverpool,0.01,0.05,Saved,29.0,Right Foot,
62,Roberto Firmino,Liverpool,0.11,,Off Target,10.0,Left Foot,
66,Roberto Firmino,Liverpool,0.24,,Blocked,9.0,Right Foot,
66,James Milner,Liverpool,0.04,,Blocked,18.0,Right Foot,
68,Jordan Henderson,Liverpool,0.03,,Blocked,18.0,Right Foot,Volley
72,Sadio Mané,Liverpool,0.07,,Off Target,9.0,Head,
80,Mohamed Salah,Liverpool,0.09,0.6,Goal,18.0,Left Foot,
86,Jordan Henderson,Liverpool,0.46,0.75,Goal,8.0,Left Foot,
5,Naby Keïta,Liverpool,0.06,0.12,Goal,18.0,Right Foot,Deflected
6,Roberto Firmino,Liverpool,0.05,,Blocked,14.0,Left Foot,
16,Naby Keïta,Liverpool,0.05,,Blocked,22.0,Right Foot,
18,Mohamed Salah,Liverpool,0.04,,Blocked,19.0,Left Foot,
18,Mohamed Salah,Liverpool,0.04,0.05,Saved,25.0,Left Foot,Volley
22,Mohamed Salah,Liverpool,0.46,,Off Target,14.0,Left Foot,
26,Roberto Firmino,Liverpool,0.82,0.93,Goal,3.0,Right Foot,
34,Roberto Firmino,Liverpool,0.35,,Off Target,11.0,Left Foot,
,,,,,,,,
52,Mohamed Salah,Liverpool,0.16,,Blocked,13.0,Left Foot,
60,James Milner,Liverpool,0.03,,Blocked,23.0,Right Foot,
61,Mohamed Salah,Liverpool,0.03,,Off Target,20.0,Left Foot,Volley
63,Mohamed Salah,Liverpool,0.06,,Blocked,19.0,Left Foot,
63,Mohamed Salah,Liverpool,0.07,,Blocked,16.0,Left Foot,
70,Sadio Mané,Liverpool,0.04,,Off Target,25.0,Right Foot,
75,Trent Alexander-Arnold,Liverpool,0.03,,Blocked,26.0,Right Foot,
6,Mohamed Salah,Liverpool,0.07,0.03,Saved,11.0,Left Foot,Volley
17,Mohamed Salah,Liverpool,0.05,,Blocked,17.0,Left Foot,
26,Jordan Henderson,Liverpool,0.06,,Blocked,17.0,Right Foot,Volley
38,Sadio Mané,Liverpool,0.12,,Off Target,15.0,Right Foot,
,,,,,,,,
48,Trent Alexander-Arnold,Liverpool,0.03,,Blocked,25.0,Right Foot,
49,Naby Keïta,Liverpool,0.06,,Off Target,17.0,Right Foot,Volley
51,Sadio Mané,Liverpool,0.56,0.73,Goal,4.0,Head,
53,Mohamed Salah,Liverpool,0.03,0.35,Goal,27.0,Left Foot,
57,Roberto Firmino,Liverpool,0.03,,Off Target,26.0,Right Foot,
60,Fabinho,Liverpool,0.03,,Blocked,29.0,Right Foot,
65,Mohamed Salah,Liverpool,0.04,0.22,Saved,17.0,Left Foot,
71,Mohamed Salah,Liverpool,0.04,,Blocked,17.0,Left Foot,
72,Trent Alexander-Arnold,Liverpool,0.03,0.05,Saved,15.0,Right Foot,
80,Roberto Firmino,Liverpool,0.02,0.18,Saved,19.0,Left Foot,
89,Sadio Mané,Liverpool,0.05,0.08,Saved,13.0,Left Foot,
26,Mohamed Salah,Liverpool,0.04,,Off Target,20.0,Left Foot,
26,Mohamed Salah,Liverpool,0.1,,Off Target,9.0,Right Foot,
26,Sadio Mané,Liverpool,0.77,0.95,Goal,3.0,Right Foot,
45,James Milner,Liverpool,0.06,,Off Target,12.0,Right Foot,Volley
,,,,,,,,
57,Mohamed Salah,Liverpool,0.05,,Off Target,15.0,Head,
65,Mohamed Salah,Liverpool,0.64,0.94,Goal,13.0,Left Foot,
72,Sadio Mané,Liverpool,0.73,,Off Target,11.0,Right Foot,
77,Roberto Firmino,Liverpool,0.38,0.19,Goal,7.0,Head,
84,Virgil van Dijk,Liverpool,0.7,0.71,Goal,3.0,Head,
88,Mohamed Salah,Liverpool,0.06,,Off Target,28.0,Left Foot,Free kick
90,Sadio Mané,Liverpool,0.05,,Off Target,19.0,Right Foot,
90,Mohamed Salah,Liverpool,0.03,0.02,Saved,23.0,Left Foot,Volley
90,Mohamed Salah,Liverpool,0.03,,Blocked,27.0,Left Foot,
13,Sadio Mané,Liverpool,0.03,,Off Target,31.0,Right Foot,
18,Roberto Firmino,Liverpool,0.04,,Blocked,18.0,Left Foot,
22,Roberto Firmino,Liverpool,0.48,,Off Target,12.0,Left Foot,
31,Sadio Mané,Liverpool,0.13,,Off Target,8.0,Left Foot,
34,Mohamed Salah,Liverpool,0.46,0.73,Saved,13.0,Left Foot,
41,Roberto Firmino,Liverpool,0.07,0.03,Saved,5.0,Head,
45,Trent Alexander-Arnold,Liverpool,0.07,,Blocked,28.0,Right Foot,Free kick
,,,,,,,,
50,Mohamed Salah,Liverpool,0.03,0.52,Saved,29.0,Left Foot,
51,Sadio Mané,Liverpool,0.04,,Off Target,17.0,Right Foot,
55,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,28.0,Right Foot,
57,Georginio Wijnaldum,Liverpool,0.08,0.3,Goal,12.0,Right Foot,
60,Naby Keïta,Liverpool,0.02,,Blocked,28.0,Right Foot,
61,Jordan Henderson,Liverpool,0.29,,Off Target,13.0,Right Foot,
66,Mohamed Salah,Liverpool,0.07,,Off Target,17.0,Left Foot,
72,Virgil van Dijk,Liverpool,0.28,,Off Target,4.0,Head,
81,James Milner (pen),Liverpool,0.79,0.99,Goal,13.0,Right Foot,
90,Mohamed Salah,Liverpool,0.1,0.15,Saved,10.0,Left Foot,
1,Naby Keïta,Liverpool,0.08,0.61,Goal,13.0,Right Foot,
2,Mohamed Salah,Liverpool,0.04,0.03,Saved,17.0,Left Foot,
15,Mohamed Salah,Liverpool,0.07,,Off Target,12.0,Right Foot,
17,Virgil van Dijk,Liverpool,0.07,,Off Target,9.0,Head,
23,Sadio Mané,Liverpool,0.26,0.52,Goal,10.0,Head,
28,Mohamed Salah,Liverpool,0.03,,Off Target,26.0,Left Foot,
29,Daniel Sturridge,Liverpool,0.03,,Off Target,29.0,Left Foot,
43,Jordan Henderson,Liverpool,0.07,,Off Target,15.0,Left Foot,
45,Mohamed Salah,Liverpool,0.28,0.23,Goal,17.0,Left Foot,
,,,,,,,,
49,Sadio Mané,Liverpool,0.28,,Off Target,16.0,Right Foot,
60,Naby Keïta,Liverpool,0.03,,Off Target,24.0,Right Foot,
62,Mohamed Salah,Liverpool,0.04,,Off Target,29.0,Left Foot,Volley
63,Daniel Sturridge,Liverpool,0.03,,Blocked,23.0,Left Foot,
66,Sadio Mané,Liverpool,0.07,0.16,Goal,8.0,Head,
74,Mohamed Salah,Liverpool,0.03,,Blocked,29.0,Left Foot,
76,Alex Oxlade-Chamberlain,Liverpool,0.54,0.91,Saved,10.0,Left Foot,
78,Sadio Mané,Liverpool,0.38,,Woodwork,4.0,Head,
80,Dejan Lovren,Liverpool,0.07,,Off Target,12.0,Right Foot,
83,Mohamed Salah,Liverpool,0.66,0.8,Goal,5.0,Right Foot,
90,Mohamed Salah,Liverpool,0.07,,Off Target,15.0,Left Foot,
90,Xherdan Shaqiri,Liverpool,0.03,,Off Target,26.0,Right Foot,
2,Mohamed Salah,Liverpool,0.08,,Blocked,16.0,Left Foot,
14,Sadio Mané,Liverpool,0.04,,Off Target,14.0,Head,
23,Sadio Mané,Liverpool,0.07,,Blocked,13.0,Right Foot,
35,Sadio Mané,Liverpool,0.41,,Off Target,14.0,Left Foot,
38,Mohamed Salah,Liverpool,0.06,,Blocked,18.0,Left Foot,
38,James Milner,Liverpool,0.03,,Off Target,30.0,Right Foot,
,,,,,,,,
47,James Milner,Liverpool,0.05,0.38,Saved,18.0,Right Foot,
53,Mohamed Salah,Liverpool,0.04,0.61,Saved,23.0,Left Foot,
59,James Milner,Liverpool,0.29,0.23,Saved,17.0,Right Foot,
67,Sadio Mané,Liverpool,0.06,,Off Target,14.0,Head,
68,Joe Gomez,Liverpool,0.03,,Off Target,28.0,Right Foot,
84,Roberto Firmino,Liverpool,0.07,,Blocked,9.0,Right Foot,
84,Mohamed Salah,Liverpool,0.49,,Woodwork,7.0,Right Foot,
84,Jordan Henderson,Liverpool,0.08,,Off Target,10.0,Head,
90,Jordan Henderson,Liverpool,0.05,,Off Target,14.0,Head,
11,Mohamed Salah,Liverpool,0.05,,Off Target,8.0,Left Foot,
13,Mohamed Salah,Liverpool,0.06,,Blocked,11.0,Right Foot,
13,Virgil van Dijk,Liverpool,0.13,0.07,Goal,7.0,Head,
28,Mohamed Salah,Liverpool,0.08,0.27,Goal,12.0,Right Foot,Volley
32,Sadio Mané,Liverpool,0.34,0.19,Saved,11.0,Right Foot,
34,Daniel Sturridge,Liverpool,0.03,,Off Target,23.0,Left Foot,
37,Andrew Robertson,Liverpool,0.04,,Off Target,18.0,Left Foot,
,,,,,,,,
48,Mohamed Salah,Liverpool,0.05,,Off Target,17.0,Right Foot,
50,Daniel Sturridge,Liverpool,0.07,,Off Target,16.0,Left Foot,
51,Jordan Henderson,Liverpool,0.11,,Off Target,12.0,Right Foot,Volley
86,Divock Origi,Liverpool,0.25,0.82,Goal,6.0,Head,Deflected
1,Xherdan Shaqiri,Liverpool,0.07,,Off Target,13.0,Left Foot,
7,Jordan Henderson,Liverpool,0.43,0.71,Saved,13.0,Left Foot,
7,Divock Origi,Liverpool,0.52,0.73,Goal,7.0,Right Foot,
22,Jordan Henderson,Liverpool,0.07,,Blocked,14.0,Right Foot,Deflected
23,Andrew Robertson,Liverpool,0.04,0.07,Saved,18.0,Left Foot,
43,Andrew Robertson,Liverpool,0.03,,Blocked,29.0,Left Foot,
44,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,22.0,Right Foot,Volley
,,,,,,,,
51,Virgil van Dijk,Liverpool,0.58,0.72,Saved,5.0,Right Foot,
54,Georginio Wijnaldum,Liverpool,0.08,0.09,Goal,14.0,Right Foot,
56,Georginio Wijnaldum,Liverpool,0.07,0.39,Goal,11.0,Head,
76,Trent Alexander-Arnold,Liverpool,0.02,,Off Target,30.0,Right Foot,
79,Divock Origi,Liverpool,0.31,0.91,Goal,9.0,Right Foot,
86,Xherdan Shaqiri,Liverpool,0.26,,Off Target,9.0,Head,
4,Divock Origi,Liverpool,0.05,0.11,Saved,13.0,Right Foot,Volley
17,Sadio Mané,Liverpool,0.52,0.75,Goal,9.0,Right Foot,
20,Mohamed Salah,Liverpool,0.1,,Blocked,15.0,Left Foot,
24,Andrew Robertson,Liverpool,0.03,0.06,Saved,27.0,Left Foot,
34,Mohamed Salah,Liverpool,0.04,,Off Target,18.0,Left Foot,Volley
,,,,,,,,
48,Trent Alexander-Arnold,Liverpool,0.05,,Off Target,29.0,Right Foot,Free kick
63,Divock Origi,Liverpool,0.09,,Off Target,12.0,Right Foot,Volley
73,Mohamed Salah,Liverpool,0.08,,Blocked,13.0,Left Foot,
74,Georginio Wijnaldum,Liverpool,0.3,,Off Target,4.0,Right Foot,Volley
81,Mohamed Salah,Liverpool,0.05,,Blocked,20.0,Left Foot,Volley
81,Sadio Mané,Liverpool,0.2,0.22,Goal,13.0,Head,
83,Virgil van Dijk,Liverpool,0.04,,Woodwork,9.0,Head,
87,Mohamed Salah,Liverpool,0.03,0.51,Saved,23.0,Left Foot,
2,Mohamed Salah (pen),Liverpool,0.79,0.91,Goal,13.0,Left Foot,
17,Trent Alexander-Arnold,Liverpool,0.02,,Off Target,33.0,Right Foot,
21,Mohamed Salah,Liverpool,0.03,,Blocked,27.0,Left Foot,
22,Mohamed Salah,Liverpool,0.04,,Off Target,16.0,Left Foot,
38,Andrew Robertson,Liverpool,0.03,0.06,Saved,24.0,Left Foot,
39,Mohamed Salah,Liverpool,0.03,,Off Target,23.0,Right Foot,Volley
42,Jordan Henderson,Liverpool,0.03,,Blocked,32.0,Right Foot,
42,Mohamed Salah,Liverpool,0.02,,Blocked,28.0,Left Foot,Volley
,,,,,,,,
53,Fabinho,Liverpool,0.03,,Blocked,30.0,Right Foot,
54,Mohamed Salah,Liverpool,0.11,,Blocked,12.0,Left Foot,
69,James Milner,Liverpool,0.05,,Off Target,17.0,Left Foot,
83,Jordan Henderson,Liverpool,0.03,,Off Target,28.0,Right Foot,
87,Virgil van Dijk,Liverpool,0.05,,Blocked,15.0,Right Foot,Volley
87,Divock Origi,Liverpool,0.04,0.58,Goal,15.0,Left Foot,
