Date,Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Venue
2018-08-12,17,Sadio Mané,Liverpool,0.04,,Blocked,16.0,Right Foot,,Home
2018-08-12,18,Roberto Firmino,Liverpool,0.59,,Off Target,5.0,Right Foot,Volley,Home
2018-08-12,19,Mohamed Salah,Liverpool,0.74,0.95,Goal,4.0,Right Foot,,Home
2018-08-12,24,Trent Alexander-Arnold,Liverpool,0.06,0.57,Saved,31.0,Right Foot,Free kick,Home
2018-08-12,25,Georginio Wijnaldum,Liverpool,0.09,,Off Target,12.0,Left Foot,,Home
2018-08-12,36,Mohamed Salah,Liverpool,0.06,0.06,Saved,12.0,Head,,Home
2018-08-12,37,Mohamed Salah,Liverpool,0.53,0.62,Saved,5.0,Right Foot,,Home
2018-08-12,45,Sadio Mané,Liverpool,0.75,0.94,Goal,4.0,Right Foot,,Home
2018-08-12,53,Sadio Mané,Liverpool,0.11,0.28,Goal,16.0,Right Foot,,Home
2018-08-12,65,James Milner,Liverpool,0.08,,Blocked,23.0,Right Foot,Free kick,Home
2018-08-12,65,Mohamed Salah,Liverpool,0.04,,Off Target,21.0,Left Foot,,Home
2018-08-12,68,Sadio Mané,Liverpool,0.08,,Off Target,6.0,Head,,Home
2018-08-12,70,Joe Gomez,Liverpool,0.15,,Off Target,10.0,Other,,Home
2018-08-12,73,Georginio Wijnaldum,Liverpool,0.03,,Off Target,30.0,Right Foot,,Home
2018-08-12,78,Naby Keïta,Liverpool,0.03,,Off Target,14.0,Left Foot,,Home
2018-08-12,80,Georginio Wijnaldum,Liverpool,0.05,,Blocked,20.0,Right Foot,,Home
2018-08-12,88,Daniel Sturridge,Liverpool,0.59,0.94,Goal,3.0,Left Foot,Volley,Home
2018-08-12,90,Daniel Sturridge,Liverpool,0.05,0.1,Saved,15.0,Left Foot,,Home
2018-08-20,3,Mohamed Salah,Liverpool,0.05,,Blocked,14.0,Left Foot,,Away
2018-08-20,23,Mohamed Salah,Liverpool,0.38,,Off Target,16.0,Left Foot,,Away
2018-08-20,27,Mohamed Salah,Liverpool,0.07,,Blocked,21.0,Left Foot,,Away
2018-08-20,27,Naby Keïta,Liverpool,0.26,0.31,Saved,10.0,Left Foot,,Away
2018-08-20,35,Andrew Robertson,Liverpool,0.06,,Off Target,15.0,Left Foot,Volley,Away
2018-08-20,44,James Milner,Liverpool,0.02,,Blocked,33.0,Right Foot,,Away
2018-08-20,45,James Milner,Liverpool,0.79,0.99,Goal,13.0,Right Foot,,Away
2018-08-20,49,Naby Keïta,Liverpool,0.07,,Off Target,17.0,Right Foot,,Away
2018-08-20,60,Mohamed Salah,Liverpool,0.02,,Blocked,25.0,Left Foot,Volley,Away
2018-08-20,61,Trent Alexander-Arnold,Liverpool,0.03,,Blocked,26.0,Right Foot,,Away
2018-08-20,77,Mohamed Salah,Liverpool,0.16,,Blocked,21.0,Left Foot,Free kick,Away
2018-08-20,78,Naby Keïta,Liverpool,0.01,0.06,Saved,31.0,Right Foot,,Away
2018-08-20,81,Sadio Mané,Liverpool,0.07,0.17,Saved,14.0,Right Foot,,Away
2018-08-20,84,Mohamed Salah,Liverpool,0.08,0.22,Saved,10.0,Head,,Away
2018-08-20,87,Roberto Firmino,Liverpool,0.03,,Off Target,21.0,Right Foot,,Away
2018-08-20,90,Sadio Mané,Liverpool,0.51,0.73,Goal,11.0,Right Foot,,Away
2018-08-25,5,Sadio Mané,Liverpool,0.06,,Off Target,16.0,Left Foot,,Home
2018-08-25,9,Roberto Firmino,Liverpool,0.35,0.51,Saved,4.0,Head,,Home
2018-08-25,15,Trent Alexander-Arnold,Liverpool,0.11,,Woodwork,21.0,Right Foot,Free kick,Home
2018-08-25,19,Mohamed Salah,Liverpool,0.04,0.06,Saved,12.0,Left Foot,,Home
2018-08-25,23,Mohamed Salah,Liverpool,0.06,0.58,Goal,16.0,Left Foot,,Home
2018-08-25,31,Georginio Wijnaldum,Liverpool,0.06,0.15,Saved,10.0,Right Foot,,Home
2018-08-25,34,Sadio Mané,Liverpool,0.1,0.15,Saved,9.0,Head,,Home
2018-08-25,44,Roberto Firmino,Liverpool,0.03,,Blocked,28.0,Right Foot,,Home
2018-08-25,44,Roberto Firmino,Liverpool,0.03,,Off Target,23.0,Right Foot,,Home
2018-08-25,46,Roberto Firmino,Liverpool,0.06,,Blocked,12.0,Right Foot,,Home
2018-08-25,58,Naby Keïta,Liverpool,0.03,,Off Target,29.0,Right Foot,,Home
2018-08-25,58,Mohamed Salah,Liverpool,0.08,,Blocked,14.0,Left Foot,,Home
2018-08-25,61,Joe Gomez,Liverpool,0.07,0.04,Saved,13.0,Head,,Home
2018-08-25,69,Roberto Firmino,Liverpool,0.05,0.07,Saved,13.0,Right Foot,,Home
2018-08-25,72,Mohamed Salah,Liverpool,0.03,,Blocked,31.0,Left Foot,,Home
2018-08-25,86,Daniel Sturridge,Liverpool,0.03,,Blocked,25.0,Left Foot,,Home
2018-08-25,86,Trent Alexander-Arnold,Liverpool,0.06,,Blocked,17.0,Left Foot,,Home
2018-08-25,87,Georginio Wijnaldum,Liverpool,0.19,,Blocked,4.0,Right Foot,Deflected,Home
2018-08-25,87,Mohamed Salah,Liverpool,0.04,,Off Target,19.0,Left Foot,,Home
2018-08-25,90,Georginio Wijnaldum,Liverpool,0.06,,Blocked,16.0,Right Foot,,Home
2018-08-25,90,Daniel Sturridge,Liverpool,0.03,,Off Target,20.0,Left Foot,,Home
2018-08-25,90,Mohamed Salah,Liverpool,0.07,,Off Target,18.0,Left Foot,,Home
2018-09-01,4,Roberto Firmino,Liverpool,0.28,0.11,Saved,15.0,Right Foot,,Away
2018-09-01,4,Mohamed Salah,Liverpool,0.34,,Off Target,12.0,Left Foot,,Away
2018-09-01,10,Sadio Mané,Liverpool,0.1,0.12,Goal,12.0,Left Foot,,Away
2018-09-01,16,Joe Gomez,Liverpool,0.06,,Off Target,11.0,Head,,Away
2018-09-01,21,Georginio Wijnaldum,Liverpool,0.07,,Blocked,14.0,Left Foot,,Away
2018-09-01,43,Mohamed Salah,Liverpool,0.03,0.25,Saved,27.0,Left Foot,,Away
2018-09-01,45,Roberto Firmino,Liverpool,0.06,0.31,Goal,10.0,Head,,Away
2018-09-01,54,Mohamed Salah,Liverpool,0.03,,Blocked,25.0,Left Foot,,Away
2018-09-01,82,Sadio Mané,Liverpool,0.15,,Off Target,8.0,Head,,Away
2018-09-01,86,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,29.0,Right Foot,,Away
2018-09-15,3,Virgil van Dijk,Liverpool,0.08,,Off Target,8.0,Head,,Away
2018-09-15,6,Trent Alexander-Arnold,Liverpool,0.06,0.14,Saved,28.0,Right Foot,Free kick,Away
2018-09-15,22,Mohamed Salah,Liverpool,0.27,0.55,Saved,12.0,Left Foot,,Away
2018-09-15,35,Sadio Mané,Liverpool,0.09,0.51,Saved,11.0,Left Foot,,Away
2018-09-15,39,Georginio Wijnaldum,Liverpool,0.08,0.43,Goal,8.0,Head,,Away
2018-09-15,43,Georginio Wijnaldum,Liverpool,0.06,,Off Target,12.0,Right Foot,,Away
2018-09-15,49,Naby Keïta,Liverpool,0.02,0.04,Saved,26.0,Right Foot,Volley,Away
2018-09-15,49,Sadio Mané,Liverpool,0.08,0.13,Saved,15.0,Left Foot,,Away
2018-09-15,54,Roberto Firmino,Liverpool,0.98,0.97,Goal,1.0,Left Foot,,Away
2018-09-15,60,Virgil van Dijk,Liverpool,0.08,,Off Target,11.0,Head,,Away
2018-09-15,63,Naby Keïta,Liverpool,0.32,0.39,Saved,10.0,Left Foot,,Away
2018-09-15,81,Mohamed Salah,Liverpool,0.05,0.11,Saved,17.0,Left Foot,,Away
2018-09-15,81,Sadio Mané,Liverpool,0.11,,Off Target,8.0,Left Foot,,Away
2018-09-15,81,Sadio Mané,Liverpool,0.06,0.03,Saved,17.0,Left Foot,,Away
2018-09-15,84,Mohamed Salah,Liverpool,0.12,,Blocked,13.0,Left Foot,,Away
2018-09-15,84,Mohamed Salah,Liverpool,0.1,,Blocked,11.0,Left Foot,,Away
2018-09-15,90,Sadio Mané,Liverpool,0.03,,Off Target,27.0,Left Foot,,Away
2018-09-22,4,Roberto Firmino,Liverpool,0.08,,Off Target,9.0,Head,,Home
2018-09-22,10,Xherdan Shaqiri,Liverpool,0.03,,Blocked,17.0,Right Foot,,Home
2018-09-22,21,Joël Matip,Liverpool,0.07,0.56,Goal,9.0,Head,,Home
2018-09-22,31,Georginio Wijnaldum,Liverpool,0.04,,Off Target,25.0,Right Foot,,Home
2018-09-22,43,Mohamed Salah,Liverpool,0.23,,Off Target,4.0,Left Foot,,Home
2018-09-22,45,Roberto Firmino,Liverpool,0.04,,Blocked,18.0,Right Foot,,Home
2018-09-22,45,Sadio Mané,Liverpool,0.03,0.04,Saved,26.0,Right Foot,,Home
2018-09-22,45,Xherdan Shaqiri,Liverpool,0.06,,Woodwork,30.0,Left Foot,Free kick,Home
2018-09-22,45,Mohamed Salah,Liverpool,0.96,0.98,Goal,1.0,Left Foot,,Home
2018-09-22,85,Andrew Robertson,Liverpool,0.04,,Off Target,16.0,Left Foot,Volley,Home
2018-09-22,89,James Milner,Liverpool,0.07,,Blocked,15.0,Right Foot,,Home
2018-09-22,89,James Milner,Liverpool,0.09,,Blocked,12.0,Left Foot,,Home
2018-09-29,5,Mohamed Salah,Liverpool,0.03,0.02,Saved,22.0,Left Foot,,Away
2018-09-29,11,Mohamed Salah,Liverpool,0.06,,Off Target,22.0,Left Foot,,Away
2018-09-29,15,Sadio Mané,Liverpool,0.04,,Off Target,23.0,Right Foot,,Away
2018-09-29,18,Roberto Firmino,Liverpool,0.05,,Blocked,16.0,Right Foot,,Away
2018-09-29,32,Mohamed Salah,Liverpool,0.45,,Blocked,8.0,Right Foot,,Away
2018-09-29,44,Sadio Mané,Liverpool,0.07,,Off Target,15.0,Left Foot,Volley,Away
2018-09-29,58,Sadio Mané,Liverpool,0.07,0.2,Saved,11.0,Right Foot,,Away
2018-09-29,59,Mohamed Salah,Liverpool,0.04,,Off Target,16.0,Left Foot,,Away
2018-09-29,70,Xherdan Shaqiri,Liverpool,0.3,,Off Target,11.0,Right Foot,,Away
2018-09-29,72,Roberto Firmino,Liverpool,0.39,,Blocked,7.0,Head,,Away
2018-09-29,84,Xherdan Shaqiri,Liverpool,0.06,0.17,Saved,30.0,Left Foot,Free kick,Away
2018-09-29,85,Naby Keïta,Liverpool,0.03,,Off Target,24.0,Right Foot,,Away
2018-09-29,89,Daniel Sturridge,Liverpool,0.03,0.58,Goal,27.0,Left Foot,,Away
2018-10-07,4,Mohamed Salah,Liverpool,0.05,,Off Target,16.0,Left Foot,,Home
2018-10-07,12,Dejan Lovren,Liverpool,0.08,,Off Target,9.0,Head,,Home
2018-10-07,50,Joe Gomez,Liverpool,0.04,,Blocked,21.0,Left Foot,,Home
2018-10-07,62,Mohamed Salah,Liverpool,0.05,0.09,Saved,16.0,Left Foot,,Home
2018-10-07,65,Joe Gomez,Liverpool,0.03,,Off Target,26.0,Right Foot,Volley,Home
2018-10-07,69,Mohamed Salah,Liverpool,0.04,,Off Target,18.0,Left Foot,,Home
2018-10-07,79,Daniel Sturridge,Liverpool,0.07,0.37,Saved,11.0,Head,,Home
2018-10-20,17,Xherdan Shaqiri,Liverpool,0.08,,Blocked,17.0,Left Foot,Volley,Away
2018-10-20,24,Mohamed Salah,Liverpool,0.07,0.68,Goal,11.0,Right Foot,,Away
2018-10-20,26,Xherdan Shaqiri,Liverpool,0.03,,Blocked,26.0,Left Foot,,Away
2018-10-20,26,Andrew Robertson,Liverpool,0.03,,Blocked,25.0,Left Foot,,Away
2018-10-20,47,Andrew Robertson,Liverpool,0.03,,Blocked,19.0,Left Foot,,Away
2018-10-20,47,Daniel Sturridge,Liverpool,0.03,,Off Target,20.0,Right Foot,,Away
2018-10-20,49,Daniel Sturridge,Liverpool,0.04,,Off Target,22.0,Left Foot,,Away
2018-10-20,60,Mohamed Salah,Liverpool,0.03,,Blocked,27.0,Left Foot,,Away
2018-10-20,64,Mohamed Salah,Liverpool,0.09,,Off Target,18.0,Left Foot,,Away
2018-10-20,88,Mohamed Salah,Liverpool,0.15,0.08,Saved,5.0,Left Foot,,Away
2018-10-20,89,Roberto Firmino,Liverpool,0.06,,Off Target,20.0,Left Foot,,Away
2018-10-27,10,Sadio Mané,Liverpool,0.08,,Blocked,14.0,Left Foot,,Home
2018-10-27,10,Georginio Wijnaldum,Liverpool,0.46,,Blocked,9.0,Right Foot,,Home
2018-10-27,10,Mohamed Salah,Liverpool,0.46,0.74,Goal,5.0,Left Foot,Deflected,Home
2018-10-27,13,Virgil van Dijk,Liverpool,0.1,,Woodwork,7.0,Head,,Home
2018-10-27,15,Trent Alexander-Arnold,Liverpool,0.01,,Blocked,51.0,Right Foot,,Home
2018-10-27,18,Mohamed Salah,Liverpool,0.06,,Blocked,21.0,Left Foot,,Home
2018-10-27,25,Trent Alexander-Arnold,Liverpool,0.04,,Off Target,22.0,Left Foot,,Home
2018-10-27,30,Alberto Moreno,Liverpool,0.03,,Off Target,29.0,Left Foot,,Home
2018-10-27,35,Adam Lallana,Liverpool,0.03,,Blocked,32.0,Left Foot,,Home
2018-10-27,41,Virgil van Dijk,Liverpool,0.09,,Off Target,9.0,Right Foot,Volley,Home
2018-10-27,42,Roberto Firmino,Liverpool,0.03,,Off Target,26.0,Right Foot,,Home
2018-10-27,45,Adam Lallana,Liverpool,0.06,,Blocked,9.0,Head,,Home
2018-10-27,66,Sadio Mané,Liverpool,0.08,0.53,Goal,13.0,Left Foot,,Home
2018-10-27,79,James Milner,Liverpool,0.04,,Blocked,20.0,Right Foot,,Home
2018-10-27,79,Trent Alexander-Arnold,Liverpool,0.03,0.04,Saved,28.0,Right Foot,Deflected,Home
2018-10-27,82,Mohamed Salah,Liverpool,0.06,0.7,Saved,28.0,Right Foot,,Home
2018-10-27,84,Xherdan Shaqiri,Liverpool,0.53,0.95,Goal,11.0,Left Foot,,Home
2018-10-27,87,Sadio Mané,Liverpool,0.54,0.71,Goal,15.0,Right Foot,,Home
2018-10-27,90,Mohamed Salah,Liverpool,0.01,,Off Target,62.0,Left Foot,,Home
2018-11-03,9,Georginio Wijnaldum,Liverpool,0.06,,Off Target,17.0,Right Foot,,Away
2018-11-03,13,Roberto Firmino,Liverpool,0.03,,Blocked,30.0,Left Foot,,Away
2018-11-03,18,Roberto Firmino,Liverpool,0.33,,Woodwork,13.0,Right Foot,,Away
2018-11-03,23,Virgil van Dijk,Liverpool,0.48,0.36,Saved,9.0,Right Foot,Volley,Away
2018-11-03,24,Mohamed Salah,Liverpool,0.03,,Blocked,22.0,Left Foot,,Away
2018-11-03,24,Andrew Robertson,Liverpool,0.04,0.06,Saved,17.0,Left Foot,,Away
2018-11-03,45,Virgil van Dijk,Liverpool,0.05,,Woodwork,15.0,Head,,Away
2018-11-03,50,Mohamed Salah,Liverpool,0.05,,Blocked,18.0,Left Foot,,Away
2018-11-03,61,James Milner,Liverpool,0.06,0.16,Goal,17.0,Right Foot,,Away
2018-11-03,69,Roberto Firmino,Liverpool,0.05,,Off Target,11.0,Head,,Away
2018-11-03,74,Virgil van Dijk,Liverpool,0.05,0.05,Saved,11.0,Head,,Away
2018-11-03,83,Sadio Mané,Liverpool,0.06,,Blocked,22.0,Right Foot,,Away
2018-11-03,84,Mohamed Salah,Liverpool,0.02,,Off Target,24.0,Left Foot,,Away
2018-11-11,4,Sadio Mané,Liverpool,0.05,,Off Target,15.0,Right Foot,,Home
2018-11-11,13,Xherdan Shaqiri,Liverpool,0.02,,Off Target,28.0,Left Foot,,Home
2018-11-11,16,Mohamed Salah,Liverpool,0.53,0.5,Saved,9.0,Right Foot,,Home
2018-11-11,20,Trent Alexander-Arnold,Liverpool,0.05,,Off Target,13.0,Head,,Home
2018-11-11,22,Mohamed Salah,Liverpool,0.06,0.08,Saved,11.0,Right Foot,,Home
2018-11-11,25,Fabinho,Liverpool,0.03,,Blocked,32.0,Right Foot,,Home
2018-11-11,28,Sadio Mané,Liverpool,0.04,,Off Target,20.0,Right Foot,,Home
2018-11-11,30,Mohamed Salah,Liverpool,0.03,,Blocked,29.0,Left Foot,,Home
2018-11-11,32,Xherdan Shaqiri,Liverpool,0.06,,Blocked,29.0,Left Foot,Free kick,Home
2018-11-11,32,Trent Alexander-Arnold,Liverpool,0.02,,Blocked,31.0,Right Foot,Volley,Home
2018-11-11,35,Xherdan Shaqiri,Liverpool,0.05,,Off Target,20.0,Left Foot,,Home
2018-11-11,41,Mohamed Salah,Liverpool,0.21,0.49,Goal,14.0,Left Foot,,Home
2018-11-11,53,Sadio Mané,Liverpool,0.03,0.11,Saved,28.0,Right Foot,,Home
2018-11-11,53,Sadio Mané,Liverpool,0.08,,Off Target,8.0,Head,,Home
2018-11-11,53,Xherdan Shaqiri,Liverpool,0.16,0.49,Goal,7.0,Left Foot,Volley,Home
2018-11-11,59,Virgil van Dijk,Liverpool,0.06,,Blocked,30.0,Right Foot,Free kick,Home
2018-11-11,62,Andrew Robertson,Liverpool,0.05,0.18,Saved,16.0,Left Foot,,Home
2018-11-11,68,Trent Alexander-Arnold,Liverpool,0.14,,Blocked,21.0,Right Foot,Free kick,Home
2018-11-11,81,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,27.0,Right Foot,,Home
2018-11-11,90,Roberto Firmino,Liverpool,0.02,0.02,Saved,19.0,Right Foot,,Home
2018-11-11,90,Mohamed Salah,Liverpool,0.05,,Blocked,14.0,Left Foot,,Home
2018-11-24,39,Roberto Firmino,Liverpool,0.03,0.22,Saved,19.0,Right Foot,,Away
2018-11-24,41,Sadio Mané,Liverpool,0.08,0.05,Saved,12.0,Right Foot,Volley,Away
2018-11-24,42,Mohamed Salah,Liverpool,0.05,0.22,Saved,10.0,Head,,Away
2018-11-24,53,Roberto Firmino,Liverpool,0.06,,Off Target,15.0,Right Foot,Volley,Away
2018-11-24,60,Xherdan Shaqiri,Liverpool,0.03,,Off Target,27.0,Left Foot,,Away
2018-11-24,67,Mohamed Salah,Liverpool,0.12,0.07,Goal,10.0,Left Foot,Volley,Away
2018-11-24,76,Trent Alexander-Arnold,Liverpool,0.06,0.42,Goal,32.0,Right Foot,Free kick,Away
2018-11-24,79,Jordan Henderson,Liverpool,0.02,,Off Target,24.0,Right Foot,,Away
2018-11-24,89,Sadio Mané,Liverpool,0.41,0.47,Saved,14.0,Right Foot,,Away
2018-11-24,89,Roberto Firmino,Liverpool,0.56,0.92,Goal,5.0,Head,,Away
